masskrug	drinking	warm orange	a single Bavarian beer stein Mass mug filled with golden beer under a thick white foam head
sunburst-stein	drinking	warm orange	a Bavarian beer stein mug with a bright amber handle matching the mug body and a white foam head, in front of a bold sunburst of eight short fat solid triangular wedges
three-glasses	drinking	warm amber with a deep wine red accent	three different drinking vessels overlapping into one solid group, a tall narrow wheat beer glass, a stemmed wine glass, and a wide handled beer stein with a thick foam head, bold simple shapes
measuring-jug	drinking	warm orange	a wooden beer barrel lying on its side with two metal hoop bands around it
coin-hand	drinking	warm orange	an open hand from the side offering a single round coin above the palm
purse	drinking	warm orange	a small drawstring leather coin pouch, plump and closed at the neck
first-drop	drinking	warm orange	one single large teardrop shaped droplet of beer, falling
calendar-check	attendance	emerald green	a simple calendar page with two small tabs on top and one bold thick check mark filling its flat single colour face
chain-links	attendance	emerald green	two very thick oval chain links hooked through one another, the second link threaded through the open hole of the first, arranged on a diagonal, heavy bold rounded shapes with large clear open holes
sunrise-gate	attendance	emerald green gate with a bright golden yellow sun	a festival entrance archway gate with a large bold sun disc sitting high above it, thick chunky rays spreading upward from the sun
sunset-gate	attendance	emerald green	a festival entrance archway gate with the sun setting low behind it
double-sun	attendance	golden yellow and warm orange	a matching pair of two separate suns side by side, twin suns, two distinct circles of equal size each with short thick triangular rays, both fully visible
wiesn-crown	attendance	rich gold	a bold wide five point crown with a fat looped pretzel at its centre
tent-peaks	explorer	violet purple	the pointed rooftops of three Oktoberfest beer tents in a row, striped canvas peaks
ferris-wheel	explorer	violet purple	a fairground ferris wheel with just four extremely thick spokes forming a bold cross inside a heavy rim, standing on a wide solid triangular base
compass-rose	explorer	violet purple	an eight point compass rose star with a needle
tent-ring	explorer	violet purple	a single grand festival beer tent seen from the front with a striped roof and striped walls, and one bold five pointed star floating above its peak
three-figures	social	hot pink	three simple rounded people figures standing shoulder to shoulder
clasped-hands	social	hot pink	two hands clasped together in a firm handshake
camera-shutter	social	hot pink	a simple boxy photo camera seen from the front with one large round lens, chunky rectangular body, bold simple shapes
spark-heart	social	hot pink	a plump heart with three small four pointed sparkles around it
polaroid	social	hot pink	a polaroid instant photo print tilted at an angle, thick white frame with a much wider border along the bottom edge, clearly a photograph print
banner-pole	social	hot pink	a triangular pennant banner flying from a vertical pole
laurel-cup	competitive	crimson red	a two handled trophy cup framed on both sides by curved laurel branches
podium-steps	competitive	crimson red	a low wide winners podium made of three joined flat topped blocks standing in a row, the centre block only slightly higher than the two equal side blocks, the three blocks touching each other with no gaps between them, twice as wide as it is high, heavy solid simple shape
hourglass	dedication	indigo blue	an hourglass with sand streaming through its narrow waist
flame-steady	dedication	bright orange, red and golden yellow fire	a single steady upright flame with a rounded teardrop shape
signal-flag	dedication	indigo blue	a rectangular signal flag waving from a short staff
id-card	dedication	indigo blue	an identity card with a portrait circle and two short text lines
ribbon-scroll	dedication	indigo blue	an unrolled paper scroll with a ribbon tied around its middle
